,Year,Kilometers_Driven,Owner_Type,Seats,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp),Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
0,2010,72000,1,5.0,1.75,Maruti,26.6,998,58.16,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2015,41000,1,5.0,12.5,Hyundai,19.67,1582,126.2,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2,2011,46000,1,5.0,4.5,Honda,18.2,1199,88.7,0,1,0,0,0,0,0,0,0,0,0,0,1,1
3,2012,87000,1,7.0,6.0,Maruti,20.77,1248,88.76,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4,2013,40670,2,5.0,17.74,Audi,15.2,1968,140.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,2012,75000,1,5.0,2.35,Hyundai,21.1,814,55.2,0,0,0,0,1,0,0,0,0,0,0,1,0,1
6,2013,86999,1,5.0,3.5,Nissan,23.08,1461,63.1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
7,2016,36000,1,8.0,17.5,Toyota,11.36,2755,171.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
8,2013,64430,1,5.0,5.2,Volkswagen,20.54,1598,103.6,0,0,0,0,0,0,0,0,0,1,1,0,0,1
9,2012,65932,2,5.0,1.95,Tata,22.3,1248,74,0,1,0,0,0,0,0,0,0,0,1,0,0,1
10,2018,25692,1,5.0,9.95,Maruti,21.56,1462,103.25,0,0,0,0,0,0,1,0,0,0,0,0,1,1
11,2012,60000,1,5.0,4.49,Honda,16.8,1497,116.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,2015,64424,1,5.0,5.6,Maruti,25.2,1248,74,0,0,0,0,0,1,0,0,0,0,1,0,0,1
13,2014,72000,1,5.0,27.0,Land,12.7,2179,187.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0
14,2012,85000,2,5.0,17.5,Land,0.0,2179,115,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15,2014,110000,1,7.0,15.0,Mitsubishi,13.5,2477,175.56,0,0,0,1,0,0,0,0,0,0,1,0,0,1
16,2016,58950,1,5.0,5.4,Honda,25.8,1498,98.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17,2017,25000,1,5.0,5.99,Maruti,28.4,1248,74,0,0,0,0,0,1,0,0,0,0,1,0,0,1
18,2014,77469,1,5.0,6.34,Renault,20.45,1461,83.8,0,0,0,0,0,0,1,0,0,0,1,0,0,1
19,2014,78500,1,5.0,28.0,Mercedes-Benz,14.84,2143,167.62,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2014,32982,1,5.0,18.55,BMW,22.69,1995,190,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,2015,55392,2,5.0,8.25,Maruti,23.65,1248,88.5,1,0,0,0,0,0,0,0,0,0,1,0,0,1
22,2015,55985,1,5.0,23.5,Audi,13.53,1984,177.01,0,0,0,0,0,0,0,0,1,0,0,0,1,0
23,2010,45807,1,5.0,1.87,Hyundai,18.5,1197,80,0,0,0,0,0,0,0,1,0,0,0,0,1,1
24,2010,33000,1,5.0,2.85,Volkswagen,14.4,1598,103.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,2012,51920,1,5.0,4.25,Honda,16.8,1497,116.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1
26,2012,54000,1,5.0,4.25,Nissan,23.08,1461,63.1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
27,2013,54000,2,5.0,2.75,Maruti,20.92,998,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
28,2018,37430,1,5.0,9.9,Honda,17.5,1199,88.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
29,2007,262000,4,7.0,4.0,Toyota,12.8,2494,102,0,0,0,0,0,0,0,0,1,0,1,0,0,1
30,2013,62000,1,5.0,7.75,Renault,19.01,1461,108.45,1,0,0,0,0,0,0,0,0,0,1,0,0,1
31,2012,87615,1,5.0,6.75,Toyota,14.53,1798,138.1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
32,2013,72000,2,7.0,12.5,Mahindra,11.18,2696,184,1,0,0,0,0,0,0,0,0,0,1,0,0,0
